equipo_h,equipo_a,elo_h,elo_a,lambda_h,lambda_a,p_victoria_h,p_empate,p_victoria_a,marcador_mp,prob_mp
Switzerland,Mexico,1889,1860,1.315,1.247,38.3,26.6,35.1,1-1,12.65
Switzerland,Morocco,1889,1822,1.362,1.204,40.4,26.5,33.0,1-1,12.6
Switzerland,Netherlands,1889,1961,1.198,1.368,32.7,26.5,40.7,1-1,12.59
Switzerland,New Zealand,1889,1585,1.693,0.968,54.2,24.1,21.5,1-0,11.83
Switzerland,Norway,1889,1912,1.253,1.308,35.4,26.6,37.9,1-1,12.66
Switzerland,Panama,1889,1737,1.472,1.113,45.3,26.0,28.6,1-1,12.35
Switzerland,Paraguay,1889,1833,1.348,1.216,39.8,26.5,33.6,1-1,12.62
Switzerland,Portugal,1889,1984,1.173,1.397,31.5,26.4,42.0,1-1,12.54
Switzerland,Qatar,1889,1425,1.962,0.835,63.4,21.0,15.2,1-0,11.96
Switzerland,Saudi Arabia,1889,1568,1.72,0.953,55.2,23.8,20.8,1-0,11.88
Switzerland,Scotland,1889,1767,1.432,1.144,43.6,26.2,30.1,1-1,12.46
Switzerland,Senegal,1889,1878,1.293,1.267,37.3,26.6,36.0,1-1,12.66
Switzerland,South Africa,1889,1524,1.791,0.915,57.8,23.0,18.9,1-0,11.96
Switzerland,South Korea,1889,1752,1.452,1.129,44.4,26.1,29.4,1-1,12.41
Switzerland,Spain,1889,2165,0.993,1.65,22.7,24.5,52.6,0-1,11.74
Switzerland,Sweden,1889,1719,1.497,1.095,46.4,25.8,27.7,1-1,12.27
Switzerland,Tunisia,1889,1636,1.616,1.014,51.2,24.8,23.8,1-1,11.81
Switzerland,Turkey,1889,1902,1.265,1.296,35.9,26.6,37.4,1-1,12.66
Switzerland,United States,1889,1721,1.494,1.097,46.3,25.8,27.8,1-1,12.28
Switzerland,Uruguay,1889,1892,1.277,1.284,36.5,26.6,36.8,1-1,12.66
Switzerland,Uzbekistan,1889,1727,1.486,1.103,45.9,25.9,28.1,1-1,12.31
Tunisia,Algeria,1636,1743,1.16,1.413,30.9,26.3,42.7,1-1,12.51
Tunisia,Argentina,1636,2113,0.825,1.986,14.8,20.7,64.1,0-1,11.94
Tunisia,Australia,1636,1783,1.118,1.466,28.9,26.0,45.0,1-1,12.37
Tunisia,Austria,1636,1827,1.074,1.526,26.7,25.6,47.6,1-1,12.17
Tunisia,Belgium,1636,1867,1.035,1.583,24.8,25.1,50.0,1-1,11.95
Tunisia,Bosnia and Herzegovina,1636,1594,1.331,1.232,39.0,26.6,34.3,1-1,12.64
Tunisia,Brazil,1636,1984,0.929,1.763,19.6,23.3,56.8,0-1,11.94
Tunisia,Canada,1636,1784,1.117,1.467,28.8,26.0,45.1,1-1,12.37
Tunisia,Cape Verde,1636,1549,1.387,1.182,41.6,26.4,31.9,1-1,12.56
Tunisia,Colombia,1636,1975,0.937,1.749,20.0,23.5,56.3,0-1,11.92
Tunisia,Croatia,1636,1930,0.977,1.678,21.9,24.2,53.7,0-1,11.8
Tunisia,Curaçao,1636,1436,1.539,1.065,48.1,25.5,26.3,1-1,12.13
Tunisia,Czech Republic,1636,1726,1.179,1.391,31.8,26.4,41.7,1-1,12.55
Tunisia,DR Congo,1636,1655,1.258,1.303,35.6,26.6,37.7,1-1,12.66
Tunisia,Ecuador,1636,1933,0.974,1.683,21.8,24.2,53.8,0-1,11.81
Tunisia,Egypt,1636,1689,1.219,1.344,33.8,26.5,39.6,1-1,12.63
Tunisia,England,1636,2020,0.899,1.823,18.2,22.7,58.9,0-1,11.98
Tunisia,France,1636,2081,0.85,1.928,15.9,21.4,62.3,0-1,11.98
Tunisia,Germany,1636,1923,0.983,1.667,22.2,24.3,53.2,0-1,11.78
Tunisia,Ghana,1636,1503,1.447,1.133,44.2,26.1,29.6,1-1,12.42
Tunisia,Haiti,1636,1532,1.409,1.163,42.5,26.3,31.1,1-1,12.52
Tunisia,Iran,1636,1760,1.142,1.435,30.0,26.2,43.7,1-1,12.45
Tunisia,Iraq,1636,1607,1.315,1.247,38.3,26.6,35.1,1-1,12.65
Tunisia,Ivory Coast,1636,1676,1.234,1.328,34.5,26.6,38.9,1-1,12.64
Tunisia,Japan,1636,1904,1.0,1.638,23.1,24.6,52.1,1-1,11.71
Tunisia,Jordan,1636,1690,1.218,1.345,33.7,26.5,39.7,1-1,12.62
Tunisia,Mexico,1636,1860,1.042,1.573,25.1,25.2,49.5,1-1,11.99
Tunisia,Morocco,1636,1822,1.079,1.519,26.9,25.6,47.3,1-1,12.2
Tunisia,Netherlands,1636,1961,0.949,1.726,20.6,23.7,55.5,0-1,11.89
Tunisia,New Zealand,1636,1585,1.342,1.222,39.5,26.6,33.9,1-1,12.63
Tunisia,Norway,1636,1912,0.993,1.65,22.7,24.5,52.6,0-1,11.74
Tunisia,Panama,1636,1737,1.167,1.405,31.2,26.3,42.4,1-1,12.52
Tunisia,Paraguay,1636,1833,1.068,1.535,26.4,25.5,48.0,1-1,12.14
Tunisia,Portugal,1636,1984,0.929,1.763,19.6,23.3,56.8,0-1,11.94
Tunisia,Qatar,1636,1425,1.555,1.054,48.8,25.4,25.7,1-1,12.07
Tunisia,Saudi Arabia,1636,1568,1.363,1.203,40.5,26.5,33.0,1-1,12.6
Tunisia,Scotland,1636,1767,1.135,1.444,29.7,26.1,44.1,1-1,12.43
Tunisia,Senegal,1636,1878,1.025,1.599,24.3,25.0,50.6,1-1,11.88
Tunisia,South Africa,1636,1524,1.419,1.155,43.0,26.3,30.6,1-1,12.49
Tunisia,South Korea,1636,1752,1.151,1.424,30.4,26.2,43.2,1-1,12.48
Tunisia,Spain,1636,2165,0.787,2.083,13.0,19.5,66.9,0-2,12.3
Tunisia,Sweden,1636,1719,1.186,1.382,32.2,26.4,41.3,1-1,12.57
Tunisia,Switzerland,1636,1889,1.014,1.616,23.8,24.8,51.2,1-1,11.81
Tunisia,Turkey,1636,1902,1.002,1.635,23.2,24.7,52.0,1-1,11.73
Tunisia,United States,1636,1721,1.184,1.384,32.1,26.4,41.4,1-1,12.57
Tunisia,Uruguay,1636,1892,1.012,1.62,23.6,24.8,51.4,1-1,11.79
Tunisia,Uzbekistan,1636,1727,1.177,1.392,31.7,26.4,41.8,1-1,12.55
Turkey,Algeria,1902,1743,1.482,1.106,45.7,25.9,28.3,1-1,12.32
Turkey,Argentina,1902,2113,1.054,1.555,25.7,25.4,48.8,1-1,12.07
Turkey,Australia,1902,1783,1.428,1.147,43.4,26.2,30.3,1-1,12.47
Turkey,Austria,1902,1827,1.372,1.195,40.9,26.5,32.6,1-1,12.59
Turkey,Belgium,1902,1867,1.322,1.24,38.6,26.6,34.7,1-1,12.65
Turkey,Bosnia and Herzegovina,1902,1594,1.7,0.964,54.5,24.0,21.3,1-0,11.84
Turkey,Brazil,1902,1984,1.187,1.381,32.2,26.4,41.3,1-1,12.57
Turkey,Canada,1902,1784,1.427,1.149,43.3,26.2,30.3,1-1,12.47
Turkey,Cape Verde,1902,1549,1.771,0.925,57.1,23.2,19.4,1-0,11.94
Turkey,Colombia,1902,1975,1.197,1.369,32.7,26.5,40.8,1-1,12.59
Turkey,Croatia,1902,1930,1.248,1.314,35.1,26.6,38.2,1-1,12.65
Turkey,Curaçao,1902,1436,1.966,0.834,63.5,21.0,15.1,1-0,11.96
Turkey,Czech Republic,1902,1726,1.505,1.089,46.7,25.7,27.4,1-1,12.25
Turkey,DR Congo,1902,1655,1.607,1.02,50.9,24.9,24.0,1-1,11.85
Turkey,Ecuador,1902,1933,1.244,1.317,34.9,26.6,38.4,1-1,12.65
Turkey,Egypt,1902,1689,1.557,1.052,48.9,25.3,25.6,1-1,12.05
Turkey,England,1902,2020,1.149,1.427,30.3,26.2,43.3,1-1,12.47
Turkey,France,1902,2081,1.086,1.509,27.3,25.7,46.9,1-1,12.23
Turkey,Germany,1902,1923,1.256,1.305,35.5,26.6,37.8,1-1,12.66
Turkey,Ghana,1902,1503,1.848,0.887,59.7,22.4,17.6,1-0,11.99
Turkey,Haiti,1902,1532,1.799,0.911,58.1,22.9,18.7,1-0,11.97
Turkey,Iran,1902,1760,1.459,1.123,44.7,26.1,29.1,1-1,12.39
Turkey,Iraq,1902,1607,1.679,0.976,53.7,24.2,21.9,1-0,11.8
Turkey,Ivory Coast,1902,1676,1.576,1.04,49.7,25.2,25.0,1-1,11.98
Turkey,Japan,1902,1904,1.278,1.283,36.5,26.6,36.8,1-1,12.66
Turkey,Jordan,1902,1690,1.556,1.053,48.8,25.4,25.7,1-1,12.06
Turkey,Mexico,1902,1860,1.331,1.232,39.0,26.6,34.3,1-1,12.64
Turkey,Morocco,1902,1822,1.378,1.189,41.2,26.4,32.3,1-1,12.58
Turkey,Netherlands,1902,1961,1.213,1.352,33.4,26.5,40.0,1-1,12.62
Turkey,New Zealand,1902,1585,1.714,0.956,55.0,23.9,20.9,1-0,11.87
Turkey,Norway,1902,1912,1.269,1.292,36.1,26.6,37.2,1-1,12.66
Turkey,Panama,1902,1737,1.49,1.1,46.1,25.9,28.0,1-1,12.3
Turkey,Paraguay,1902,1833,1.364,1.201,40.5,26.5,32.9,1-1,12.6
Turkey,Portugal,1902,1984,1.187,1.381,32.2,26.4,41.3,1-1,12.57
Turkey,Qatar,1902,1425,1.986,0.825,64.1,20.7,14.8,1-0,11.94
Turkey,Saudi Arabia,1902,1568,1.741,0.942,56.0,23.6,20.2,1-0,11.91
Turkey,Scotland,1902,1767,1.45,1.131,44.3,26.1,29.5,1-1,12.42
Turkey,Senegal,1902,1878,1.309,1.252,38.0,26.6,35.3,1-1,12.66
Turkey,South Africa,1902,1524,1.813,0.904,58.5,22.8,18.4,1-0,11.98
Turkey,South Korea,1902,1752,1.47,1.115,45.2,26.0,28.7,1-1,12.36
Turkey,Spain,1902,2165,1.005,1.631,23.3,24.7,51.8,1-1,11.75
Turkey,Sweden,1902,1719,1.515,1.082,47.1,25.7,27.1,1-1,12.21
Turkey,Switzerland,1902,1889,1.296,1.265,37.4,26.6,35.9,1-1,12.66
Turkey,Tunisia,1902,1636,1.635,1.002,52.0,24.7,23.2,1-1,11.73
Turkey,United States,1902,1721,1.512,1.084,47.0,25.7,27.2,1-1,12.22
Turkey,Uruguay,1902,1892,1.292,1.269,37.2,26.6,36.1,1-1,12.66
Turkey,Uzbekistan,1902,1727,1.504,1.09,46.7,25.8,27.5,1-1,12.25
United States,Algeria,1721,1743,1.255,1.306,35.4,26.6,37.9,1-1,12.66
United States,Argentina,1721,2113,0.893,1.836,17.9,22.5,59.3,0-1,11.99
United States,Australia,1721,1783,1.209,1.355,33.3,26.5,40.1,1-1,12.61
United States,Austria,1721,1827,1.161,1.411,31.0,26.3,42.7,1-1,12.51
United States,Belgium,1721,1867,1.119,1.464,28.9,26.0,45.0,1-1,12.37
United States,Bosnia and Herzegovina,1721,1594,1.439,1.139,43.9,26.2,29.9,1-1,12.44
United States,Brazil,1721,1984,1.005,1.631,23.3,24.7,51.8,1-1,11.75
United States,Canada,1721,1784,1.208,1.357,33.2,26.5,40.2,1-1,12.61
United States,Cape Verde,1721,1549,1.5,1.093,46.5,25.8,27.6,1-1,12.26
United States,Colombia,1721,1975,1.013,1.617,23.7,24.8,51.3,1-1,11.81
United States,Croatia,1721,1930,1.056,1.552,25.8,25.4,48.7,1-1,12.08
United States,Curaçao,1721,1436,1.664,0.985,53.1,24.4,22.3,1-0,11.77
United States,Czech Republic,1721,1726,1.274,1.286,36.4,26.6,36.9,1-1,12.66
United States,DR Congo,1721,1655,1.36,1.205,40.4,26.5,33.1,1-1,12.6
United States,Ecuador,1721,1933,1.053,1.556,25.7,25.4,48.8,1-1,12.06
United States,Egypt,1721,1689,1.318,1.243,38.4,26.6,34.9,1-1,12.65
United States,England,1721,2020,0.972,1.686,21.7,24.2,53.9,0-1,11.81
United States,France,1721,2081,0.919,1.783,19.2,23.1,57.5,0-1,11.96
United States,Germany,1721,1923,1.063,1.542,26.2,25.5,48.2,1-1,12.11
United States,Ghana,1721,1503,1.565,1.048,49.2,25.3,25.4,1-1,12.03
United States,Haiti,1721,1532,1.523,1.076,47.5,25.6,26.8,1-1,12.18
United States,Iran,1721,1760,1.235,1.327,34.5,26.6,38.8,1-1,12.64
United States,Iraq,1721,1607,1.422,1.153,43.1,26.3,30.5,1-1,12.49
United States,Ivory Coast,1721,1676,1.334,1.228,39.2,26.6,34.2,1-1,12.64
United States,Japan,1721,1904,1.082,1.515,27.1,25.7,47.1,1-1,12.21
United States,Jordan,1721,1690,1.317,1.244,38.4,26.6,34.9,1-1,12.65
United States,Mexico,1721,1860,1.127,1.455,29.3,26.1,44.6,1-1,12.4
United States,Morocco,1721,1822,1.167,1.405,31.2,26.3,42.4,1-1,12.52
United States,Netherlands,1721,1961,1.027,1.597,24.4,25.0,50.5,1-1,11.89
United States,New Zealand,1721,1585,1.451,1.13,44.4,26.1,29.4,1-1,12.41
United States,Norway,1721,1912,1.074,1.526,26.7,25.6,47.6,1-1,12.17
United States,Panama,1721,1737,1.262,1.299,35.8,26.6,37.5,1-1,12.66
United States,Paraguay,1721,1833,1.155,1.419,30.6,26.3,43.0,1-1,12.49
United States,Portugal,1721,1984,1.005,1.631,23.3,24.7,51.8,1-1,11.75
United States,Qatar,1721,1425,1.681,0.975,53.8,24.2,21.8,1-0,11.81
United States,Saudi Arabia,1721,1568,1.474,1.112,45.4,26.0,28.6,1-1,12.35
United States,Scotland,1721,1767,1.227,1.336,34.1,26.6,39.2,1-1,12.64
United States,Senegal,1721,1878,1.108,1.479,28.4,25.9,45.6,1-1,12.33
United States,South Africa,1721,1524,1.535,1.068,48.0,25.5,26.4,1-1,12.14
United States,South Korea,1721,1752,1.244,1.317,34.9,26.6,38.4,1-1,12.65
United States,Spain,1721,2165,0.851,1.926,15.9,21.4,62.3,0-1,11.98
United States,Sweden,1721,1719,1.283,1.278,36.8,26.6,36.5,1-1,12.66
United States,Switzerland,1721,1889,1.097,1.494,27.8,25.8,46.3,1-1,12.28
United States,Tunisia,1721,1636,1.384,1.184,41.4,26.4,32.1,1-1,12.57
United States,Turkey,1721,1902,1.084,1.512,27.2,25.7,47.0,1-1,12.22
United States,Uruguay,1721,1892,1.094,1.498,27.7,25.8,46.4,1-1,12.27
United States,Uzbekistan,1721,1727,1.273,1.287,36.3,26.6,37.0,1-1,12.66
Uruguay,Algeria,1892,1743,1.468,1.116,45.1,26.0,28.8,1-1,12.36
Uruguay,Argentina,1892,2113,1.045,1.569,25.3,25.3,49.4,1-1,12.01
Uruguay,Australia,1892,1783,1.415,1.158,42.8,26.3,30.8,1-1,12.5
Uruguay,Austria,1892,1827,1.359,1.206,40.3,26.5,33.1,1-1,12.61
Uruguay,Belgium,1892,1867,1.31,1.251,38.0,26.6,35.3,1-1,12.66
Uruguay,Bosnia and Herzegovina,1892,1594,1.684,0.973,53.9,24.2,21.8,1-0,11.81
Uruguay,Brazil,1892,1984,1.176,1.393,31.7,26.4,41.8,1-1,12.55
Uruguay,Canada,1892,1784,1.414,1.159,42.8,26.3,30.9,1-1,12.51
Uruguay,Cape Verde,1892,1549,1.755,0.934,56.5,23.4,19.8,1-0,11.93
Uruguay,Colombia,1892,1975,1.186,1.382,32.2,26.4,41.3,1-1,12.57
Uruguay,Croatia,1892,1930,1.236,1.326,34.6,26.6,38.8,1-1,12.64
Uruguay,Curaçao,1892,1436,1.948,0.842,62.9,21.2,15.5,1-0,11.97
Uruguay,Czech Republic,1892,1726,1.491,1.099,46.1,25.8,27.9,1-1,12.29
Uruguay,DR Congo,1892,1655,1.592,1.029,50.3,25.1,24.5,1-1,11.91
Uruguay,Ecuador,1892,1933,1.233,1.329,34.4,26.6,38.9,1-1,12.64
Uruguay,Egypt,1892,1689,1.543,1.062,48.3,25.5,26.1,1-1,12.11
Uruguay,England,1892,2020,1.138,1.44,29.8,26.2,43.9,1-1,12.44
Uruguay,France,1892,2081,1.076,1.523,26.8,25.6,47.5,1-1,12.18
Uruguay,Germany,1892,1923,1.244,1.317,34.9,26.6,38.4,1-1,12.65
Uruguay,Ghana,1892,1503,1.831,0.895,59.2,22.6,18.0,1-0,11.99
Uruguay,Haiti,1892,1532,1.783,0.919,57.5,23.1,19.2,1-0,11.96
Uruguay,Iran,1892,1760,1.446,1.134,44.2,26.1,29.6,1-1,12.43
Uruguay,Iraq,1892,1607,1.664,0.985,53.1,24.4,22.3,1-0,11.77
Uruguay,Ivory Coast,1892,1676,1.562,1.05,49.1,25.3,25.5,1-1,12.04
Uruguay,Japan,1892,1904,1.266,1.294,36.0,26.6,37.3,1-1,12.66
Uruguay,Jordan,1892,1690,1.542,1.063,48.2,25.5,26.2,1-1,12.11
Uruguay,Mexico,1892,1860,1.318,1.243,38.4,26.6,34.9,1-1,12.65
Uruguay,Morocco,1892,1822,1.365,1.2,40.6,26.5,32.8,1-1,12.6
Uruguay,Netherlands,1892,1961,1.201,1.364,32.9,26.5,40.5,1-1,12.6
Uruguay,New Zealand,1892,1585,1.698,0.965,54.4,24.0,21.4,1-0,11.84
Uruguay,Norway,1892,1912,1.257,1.304,35.5,26.6,37.8,1-1,12.66
Uruguay,Panama,1892,1737,1.476,1.11,45.5,25.9,28.5,1-1,12.34
Uruguay,Paraguay,1892,1833,1.352,1.213,40.0,26.5,33.4,1-1,12.62
Uruguay,Portugal,1892,1984,1.176,1.393,31.7,26.4,41.8,1-1,12.55
Uruguay,Qatar,1892,1425,1.967,0.833,63.5,20.9,15.1,1-0,11.96
Uruguay,Saudi Arabia,1892,1568,1.725,0.95,55.4,23.7,20.6,1-0,11.88
Uruguay,Scotland,1892,1767,1.436,1.141,43.8,26.2,30.0,1-1,12.45
Uruguay,Senegal,1892,1878,1.297,1.264,37.4,26.6,35.9,1-1,12.66
Uruguay,South Africa,1892,1524,1.796,0.913,58.0,23.0,18.8,1-0,11.97
Uruguay,South Korea,1892,1752,1.456,1.126,44.6,26.1,29.2,1-1,12.4
Uruguay,Spain,1892,2165,0.996,1.646,22.9,24.6,52.4,0-1,11.72
Uruguay,Sweden,1892,1719,1.501,1.092,46.5,25.8,27.6,1-1,12.26
Uruguay,Switzerland,1892,1889,1.284,1.277,36.8,26.6,36.5,1-1,12.66
Uruguay,Tunisia,1892,1636,1.62,1.012,51.4,24.8,23.6,1-1,11.79
Uruguay,Turkey,1892,1902,1.269,1.292,36.1,26.6,37.2,1-1,12.66
Uruguay,United States,1892,1721,1.498,1.094,46.4,25.8,27.7,1-1,12.27
Uruguay,Uzbekistan,1892,1727,1.49,1.1,46.1,25.9,28.0,1-1,12.3
Uzbekistan,Algeria,1727,1743,1.262,1.299,35.8,26.6,37.5,1-1,12.66
Uzbekistan,Argentina,1727,2113,0.898,1.826,18.1,22.6,59.0,0-1,11.99
Uzbekistan,Australia,1727,1783,1.216,1.348,33.6,26.5,39.8,1-1,12.62
Uzbekistan,Austria,1727,1827,1.168,1.404,31.3,26.3,42.3,1-1,12.53
Uzbekistan,Belgium,1727,1867,1.126,1.456,29.2,26.1,44.6,1-1,12.4
Uzbekistan,Bosnia and Herzegovina,1727,1594,1.447,1.133,44.2,26.1,29.6,1-1,12.42
Uzbekistan,Brazil,1727,1984,1.011,1.622,23.6,24.8,51.5,1-1,11.79
Uzbekistan,Canada,1727,1784,1.215,1.349,33.5,26.5,39.8,1-1,12.62
Uzbekistan,Cape Verde,1727,1549,1.508,1.087,46.8,25.7,27.3,1-1,12.24
Uzbekistan,Colombia,1727,1975,1.019,1.608,24.0,24.9,51.0,1-1,11.84
Uzbekistan,Croatia,1727,1930,1.062,1.543,26.1,25.5,48.3,1-1,12.11
Uzbekistan,Curaçao,1727,1436,1.673,0.98,53.5,24.3,22.1,1-0,11.79
Uzbekistan,Czech Republic,1727,1726,1.281,1.279,36.7,26.6,36.6,1-1,12.66
Uzbekistan,DR Congo,1727,1655,1.368,1.198,40.7,26.5,32.7,1-1,12.59
Uzbekistan,Ecuador,1727,1933,1.059,1.547,26.0,25.4,48.5,1-1,12.09
Uzbekistan,Egypt,1727,1689,1.326,1.236,38.8,26.6,34.6,1-1,12.64
Uzbekistan,England,1727,2020,0.978,1.676,22.0,24.2,53.6,0-1,11.8
Uzbekistan,France,1727,2081,0.924,1.773,19.4,23.2,57.1,0-1,11.95
Uzbekistan,Germany,1727,1923,1.069,1.533,26.4,25.5,47.9,1-1,12.15
Uzbekistan,Ghana,1727,1503,1.573,1.042,49.5,25.2,25.1,1-1,11.99
Uzbekistan,Haiti,1727,1532,1.532,1.07,47.8,25.6,26.5,1-1,12.15
Uzbekistan,Iran,1727,1760,1.242,1.32,34.8,26.6,38.5,1-1,12.65
Uzbekistan,Iraq,1727,1607,1.43,1.146,43.5,26.2,30.2,1-1,12.47
Uzbekistan,Ivory Coast,1727,1676,1.342,1.222,39.5,26.6,33.9,1-1,12.63
Uzbekistan,Japan,1727,1904,1.088,1.507,27.4,25.7,46.8,1-1,12.24
Uzbekistan,Jordan,1727,1690,1.325,1.237,38.7,26.6,34.6,1-1,12.65
Uzbekistan,Mexico,1727,1860,1.133,1.447,29.6,26.1,44.2,1-1,12.42
Uzbekistan,Morocco,1727,1822,1.173,1.397,31.5,26.4,42.0,1-1,12.54
Uzbekistan,Netherlands,1727,1961,1.032,1.588,24.6,25.1,50.1,1-1,11.93
Uzbekistan,New Zealand,1727,1585,1.459,1.123,44.7,26.1,29.1,1-1,12.39
Uzbekistan,Norway,1727,1912,1.08,1.518,27.0,25.7,47.3,1-1,12.2
Uzbekistan,Panama,1727,1737,1.269,1.292,36.1,26.6,37.2,1-1,12.66
Uzbekistan,Paraguay,1727,1833,1.161,1.411,31.0,26.3,42.7,1-1,12.51
Uzbekistan,Portugal,1727,1984,1.011,1.622,23.6,24.8,51.5,1-1,11.79
Uzbekistan,Qatar,1727,1425,1.69,0.97,54.1,24.1,21.6,1-0,11.82
Uzbekistan,Saudi Arabia,1727,1568,1.482,1.106,45.7,25.9,28.3,1-1,12.32
Uzbekistan,Scotland,1727,1767,1.234,1.328,34.5,26.6,38.9,1-1,12.64
Uzbekistan,Senegal,1727,1878,1.114,1.471,28.7,26.0,45.3,1-1,12.35
Uzbekistan,South Africa,1727,1524,1.543,1.062,48.3,25.5,26.1,1-1,12.11
Uzbekistan,South Korea,1727,1752,1.251,1.31,35.3,26.6,38.0,1-1,12.66
Uzbekistan,Spain,1727,2165,0.856,1.916,16.1,21.6,61.9,0-1,11.99
Uzbekistan,Sweden,1727,1719,1.29,1.271,37.1,26.6,36.2,1-1,12.66
Uzbekistan,Switzerland,1727,1889,1.103,1.486,28.1,25.9,45.9,1-1,12.31
Uzbekistan,Tunisia,1727,1636,1.392,1.177,41.8,26.4,31.7,1-1,12.55
Uzbekistan,Turkey,1727,1902,1.09,1.504,27.5,25.8,46.7,1-1,12.25
Uzbekistan,United States,1727,1721,1.287,1.273,37.0,26.6,36.3,1-1,12.66
Uzbekistan,Uruguay,1727,1892,1.1,1.49,28.0,25.9,46.1,1-1,12.3
